product_id,warehouse,current_stock,reorder_point,max_stock,last_updated,supplier_id
1,Warehouse_A,71,30,240,2025-09-21,26
1,Warehouse_B,313,12,60,2025-08-31,26
1,Warehouse_C,491,23,92,2025-08-31,26
1,Warehouse_D,442,17,85,2025-09-06,26
1,Warehouse_E,387,48,288,2025-09-22,26
2,Warehouse_A,422,36,108,2025-09-03,30
2,Warehouse_B,149,10,80,2025-09-06,30
2,Warehouse_C,66,28,140,2025-09-06,30
2,Warehouse_D,421,15,90,2025-08-31,30
2,Warehouse_E,43,47,235,2025-09-10,30
3,Warehouse_A,140,30,120,2025-09-12,57
3,Warehouse_B,450,25,200,2025-08-30,57
3,Warehouse_C,39,31,124,2025-08-31,57
3,Warehouse_D,122,42,294,2025-09-15,57
3,Warehouse_E,5,16,128,2025-09-27,57
4,Warehouse_A,191,21,147,2025-09-24,17
4,Warehouse_B,95,38,304,2025-09-18,17
4,Warehouse_C,102,27,189,2025-09-06,17
4,Warehouse_D,391,30,210,2025-09-07,17
4,Warehouse_E,247,32,192,2025-09-14,17
5,Warehouse_A,443,29,232,2025-09-01,90
5,Warehouse_B,438,29,232,2025-09-22,90
5,Warehouse_C,206,23,92,2025-08-30,90
5,Warehouse_D,490,21,105,2025-09-06,90
5,Warehouse_E,11,24,96,2025-09-06,90
6,Warehouse_A,438,28,168,2025-09-14,40
6,Warehouse_B,244,42,336,2025-09-25,40
6,Warehouse_C,255,50,400,2025-09-05,40
6,Warehouse_D,378,24,192,2025-09-24,40
6,Warehouse_E,64,35,175,2025-09-13,40
7,Warehouse_A,41,15,75,2025-09-26,59
7,Warehouse_B,263,40,160,2025-09-02,59
7,Warehouse_C,151,41,246,2025-09-14,59
7,Warehouse_D,263,29,116,2025-09-16,59
7,Warehouse_E,161,47,282,2025-09-09,59
8,Warehouse_A,265,29,116,2025-09-16,47
8,Warehouse_B,396,21,63,2025-09-26,47
8,Warehouse_C,244,16,128,2025-08-31,47
8,Warehouse_D,57,14,70,2025-09-23,47
8,Warehouse_E,126,13,104,2025-09-04,47
9,Warehouse_A,286,14,98,2025-09-21,93
9,Warehouse_B,369,38,152,2025-09-01,93
9,Warehouse_C,454,34,102,2025-09-05,93
9,Warehouse_D,335,24,192,2025-09-19,93
9,Warehouse_E,204,22,66,2025-09-14,93
