order_item_id,order_id,product_id,quantity,unit_price,discount_amount,total_price
1,1,77,4,279.26,0.0,1117.04
2,2,496,5,358.89,0.0,1794.45
3,3,927,2,1023.13,0.0,2046.26
4,4,373,1,31.88,8.57,23.31
5,5,57,4,173.84,0.0,695.36
6,5,947,1,67.7,0.0,67.7
7,6,801,5,157.59,0.0,787.95
8,8,12,1,89.85,0.0,89.85
9,8,576,2,490.73,86.1,809.26
10,8,542,1,103.77,0.0,103.77
11,9,117,1,125.2,0.0,125.2
12,9,156,1,1465.67,0.0,1465.67
13,9,650,3,76.15,0.0,228.45
14,11,776,1,22.44,0.0,22.44
15,12,34,5,247.16,0.0,1235.8
16,13,757,3,11.21,1.95,27.78
17,13,574,4,57.24,0.0,228.96
18,13,776,1,22.44,0.0,22.44
19,14,1186,4,30.73,0.0,122.92
20,14,547,5,75.18,0.0,375.9
21,14,1092,3,11.7,0.0,35.1
22,14,155,3,15.28,1.61,41.01
23,16,192,4,29.82,0.0,119.28
24,16,252,3,67.7,0.0,203.1
25,16,1200,3,33.19,0.0,99.57
26,17,347,3,17.08,0.0,51.24
27,17,1156,2,29.44,0.0,58.88
28,17,544,4,455.48,0.0,1821.92
29,18,108,5,71.64,0.0,358.2
30,19,93,2,35.94,0.0,71.88
31,19,44,4,118.17,0.0,472.68
32,19,541,3,188.78,10.59,534.57
33,20,1182,1,161.13,0.0,161.13
34,20,305,1,138.91,0.0,138.91
35,20,377,3,195.48,29.86,496.86
36,21,853,3,19.4,0.0,58.2
37,23,1071,3,19.46,0.13,57.99
38,23,789,2,5.79,0.0,11.58
39,24,506,4,52.12,0.0,208.48
40,24,6,2,721.28,54.84,1332.88
41,25,1172,2,140.93,0.0,281.86
42,27,887,2,123.38,0.0,246.76
43,27,539,2,346.84,0.0,693.68
44,27,334,4,116.83,0.0,467.32
45,28,753,2,37.24,0.0,74.48
46,29,643,3,20.2,0.0,60.6
47,31,1108,4,18.39,0.0,73.56
48,31,720,4,478.2,0.0,1912.8
49,31,1071,5,19.46,0.0,97.3
50,31,824,2,234.45,0.0,468.9
51,31,393,4,262.24,0.0,1048.96
52,32,695,4,159.98,0.0,639.92
53,33,1153,5,30.68,0.0,153.4
54,33,1119,3,448.03,0.0,1344.09
55,33,1174,5,20.43,0.0,102.15
56,33,639,2,392.43,0.0,784.86
57,34,511,4,5.85,0.0,23.4
58,34,32,3,43.39,0.0,130.17
59,35,888,3,38.53,0.0,115.59
60,35,575,3,44.94,0.0,134.82
61,35,687,2,40.13,0.0,80.26
62,35,726,5,444.2,0.0,2221.0
63,37,669,5,47.24,0.0,236.2
64,38,469,1,31.22,0.0,31.22
65,39,1085,4,1196.99,333.85,3452.56
66,40,710,3,114.84,0.0,344.52
67,41,496,4,358.89,0.0,1435.56
68,42,731,5,42.7,6.68,180.1
69,42,865,5,6.47,0.0,32.35
70,42,383,1,45.79,7.62,38.17
71,44,356,1,23.29,0.0,23.29
72,44,1021,5,11.03,0.0,55.15
73,45,586,4,24.83,0.0,99.32
74,46,317,2,22.84,0.0,45.68
75,46,943,5,4.79,0.0,23.95
76,46,531,1,8.86,0.0,8.86
77,47,260,3,181.13,21.21,479.76
78,47,1077,3,12.15,0.0,36.45
79,48,151,1,73.77,0.0,73.77
80,48,261,4,18.16,0.0,72.64
81,48,523,1,17.08,0.0,17.08
82,48,308,2,15.2,0.0,30.4
83,48,754,2,157.92,0.0,315.84
84,49,817,2,353.23,0.0,706.46
85,49,585,1,685.08,0.0,685.08
86,49,501,3,73.56,0.0,220.68
87,51,446,1,540.96,0.0,540.96
88,53,274,2,972.2,0.0,1944.4
89,53,25,1,893.21,218.59,674.62
90,54,819,2,29.98,8.55,42.86
91,54,891,3,84.14,0.0,252.42
92,55,278,2,24.63,0.0,49.26
93,56,972,2,16.52,0.0,33.04
94,57,619,5,418.69,0.0,2093.45
95,57,35,1,34.1,0.0,34.1
96,60,530,2,17.37,0.0,34.74
