order_id,customer_id,order_date,status,subtotal,tax_amount,shipping_cost,discount_amount,total_amount,currency,payment_method,shipping_address_id,billing_address_id,coupon_code
1,1117,2025-08-12 14:35:10,completed,176.99,15.62,0.0,0.0,192.61,USD,google_pay,811,346,
2,480,2024-05-02 14:35:10,shipped,76.51,6.61,0.0,0.0,83.12,USD,apple_pay,1931,1262,
3,1069,2025-04-08 14:35:10,completed,53.13,3.6,0.0,2.61,54.12,USD,google_pay,738,171,COUPON632
4,740,2024-07-18 14:35:10,completed,65.4,4.32,0.0,0.62,69.1,USD,google_pay,1997,1107,COUPON333
5,1308,2023-10-17 14:35:10,completed,110.84,10.04,0.0,10.39,110.49,USD,google_pay,140,1648,COUPON238
6,1150,2023-12-08 14:35:10,shipped,98.59,6.64,0.0,0.0,105.23,USD,google_pay,1653,5,
7,143,2025-06-27 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,paypal,328,1906,
8,737,2025-08-31 14:35:10,completed,47.36,3.58,0.78,0.0,51.72,USD,paypal,1188,204,
9,1068,2024-09-21 14:35:10,completed,23.09,2.47,9.87,0.0,35.43,USD,paypal,1391,137,
10,1329,2024-12-04 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,google_pay,1134,364,
11,636,2025-07-09 14:35:10,completed,17.25,1.53,22.88,0.0,41.66,USD,credit_card,1708,231,
12,1375,2025-03-25 14:35:10,completed,127.72,14.87,0.0,19.75,122.84,USD,apple_pay,1302,656,COUPON508
13,439,2024-02-17 14:35:10,completed,8.48,0.83,16.4,0.0,25.71,USD,credit_card,1949,949,
14,1350,2024-09-08 14:35:10,shipped,263.77,28.34,0.0,15.51,276.6,USD,bank_transfer,1085,489,COUPON363
15,1101,2025-02-17 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,google_pay,1864,1594,
16,974,2024-05-24 14:35:10,completed,171.91,16.04,0.0,33.57,154.38,USD,credit_card,1839,1466,COUPON806
17,847,2024-03-12 14:35:10,completed,33.94,4.0,22.65,0.0,60.59,USD,credit_card,96,1277,
18,1357,2025-01-28 14:35:10,completed,179.03,19.74,0.0,0.0,198.77,USD,paypal,580,1285,
19,789,2023-09-29 14:35:10,completed,30.61,1.89,9.51,0.0,42.01,USD,credit_card,768,1764,
20,626,2024-01-23 14:35:10,shipped,47.3,2.62,5.84,0.0,55.76,USD,bank_transfer,383,1457,
21,1447,2024-06-24 14:35:10,completed,71.91,3.81,0.0,3.17,72.55,USD,credit_card,895,958,COUPON677
22,1076,2024-10-09 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,paypal,1084,1955,
23,171,2025-02-20 14:35:10,completed,76.54,4.37,0.0,0.0,80.91,USD,apple_pay,914,1036,
24,720,2025-06-07 14:35:10,completed,85.59,9.04,0.0,0.0,94.63,USD,apple_pay,1510,278,
25,922,2024-01-25 14:35:10,completed,64.69,5.53,0.0,0.0,70.22,USD,paypal,886,907,
26,110,2025-02-01 14:35:10,pending,0.0,0.0,0.0,0.0,0.0,USD,paypal,351,84,
27,224,2024-01-08 14:35:10,completed,25.11,2.89,8.45,0.0,36.45,USD,credit_card,580,1937,
28,1484,2023-11-09 14:35:10,completed,105.19,5.71,0.0,0.0,110.9,USD,apple_pay,661,1629,
