payment_id,order_id,customer_id,payment_date,payment_method,amount,currency,status,transaction_id,card_last_four,payment_processor
PAY_1,1,1117,2025-08-12 14:48:10,google_pay,192.61,USD,completed,TXN_3696618232,,Braintree
PAY_2,2,480,2024-05-02 15:31:10,apple_pay,83.12,USD,completed,TXN_1435936244,,Braintree
PAY_3,3,1069,2025-04-08 15:29:10,google_pay,54.12,USD,completed,TXN_7284024886,,Stripe
PAY_4,4,740,2024-07-18 15:33:10,google_pay,69.1,USD,completed,TXN_4447073747,,Square
PAY_5,5,1308,2023-10-17 15:29:10,google_pay,110.49,USD,completed,TXN_1841832982,,Stripe
PAY_6,6,1150,2023-12-08 15:16:10,google_pay,105.23,USD,completed,TXN_3472645302,,PayPal
PAY_8,8,737,2025-08-31 14:56:10,paypal,51.72,USD,completed,TXN_6900485163,,Stripe
PAY_9,9,1068,2024-09-21 15:14:10,paypal,35.43,USD,completed,TXN_2242876307,,PayPal
PAY_11,11,636,2025-07-09 14:58:10,credit_card,41.66,USD,completed,TXN_9618533493,9941,Braintree
PAY_12,12,1375,2025-03-25 15:04:10,apple_pay,122.84,USD,completed,TXN_7910841883,,PayPal
PAY_13,13,439,2024-02-17 14:40:10,credit_card,25.71,USD,completed,TXN_1009054492,8009,Braintree
PAY_14,14,1350,2024-09-08 14:48:10,bank_transfer,276.6,USD,completed,TXN_3489936692,,Square
PAY_16,16,974,2024-05-24 14:55:10,credit_card,154.38,USD,completed,TXN_8713894011,5762,Stripe
PAY_17,17,847,2024-03-12 14:45:10,credit_card,60.59,USD,completed,TXN_5352430660,6166,PayPal
PAY_18,18,1357,2025-01-28 15:29:10,paypal,198.77,USD,completed,TXN_3777150534,,PayPal
PAY_19,19,789,2023-09-29 15:26:10,credit_card,42.01,USD,completed,TXN_6309029926,1277,Adyen
PAY_20,20,626,2024-01-23 14:51:10,bank_transfer,55.76,USD,completed,TXN_1635568053,,Braintree
PAY_21,21,1447,2024-06-24 14:50:10,credit_card,72.55,USD,completed,TXN_2750725909,5308,Adyen
PAY_23,23,171,2025-02-20 14:46:10,apple_pay,80.91,USD,completed,TXN_3736298227,,Braintree
PAY_24,24,720,2025-06-07 15:07:10,apple_pay,94.63,USD,completed,TXN_2334588166,,Adyen
PAY_25,25,922,2024-01-25 14:58:10,paypal,70.22,USD,completed,TXN_7267263906,,Square
PAY_27,27,224,2024-01-08 14:36:10,credit_card,36.45,USD,completed,TXN_9801147474,3780,Stripe
PAY_28,28,1484,2023-11-09 15:13:10,apple_pay,110.9,USD,completed,TXN_8739084729,,Square
PAY_29,29,1290,2024-11-05 15:09:10,apple_pay,59.4,USD,completed,TXN_9491212922,,Adyen
PAY_31,31,552,2024-06-23 15:17:10,bank_transfer,152.29,USD,completed,TXN_4595244431,,Braintree
PAY_32,32,868,2025-08-18 15:31:10,paypal,102.4,USD,completed,TXN_4704071210,,Square
PAY_33,33,367,2023-12-12 14:55:10,google_pay,92.32,USD,completed,TXN_6883701588,,Braintree
PAY_34,34,50,2025-09-17 14:54:10,paypal,35.52,USD,completed,TXN_9910906899,,Adyen
PAY_35,35,215,2024-03-31 15:34:10,credit_card,76.26,USD,completed,TXN_4559414286,2084,PayPal
PAY_37,37,1048,2024-05-30 15:20:10,apple_pay,176.57,USD,completed,TXN_3390214231,,Stripe
PAY_38,38,688,2024-03-08 14:38:10,credit_card,70.73,USD,completed,TXN_6557093878,8265,Square
PAY_39,39,560,2023-11-22 15:04:10,google_pay,68.79,USD,completed,TXN_9795285118,,Braintree
PAY_40,40,614,2025-05-28 14:40:10,apple_pay,210.82,USD,completed,TXN_2633171127,,Stripe
PAY_41,41,351,2023-10-18 14:57:10,bank_transfer,94.68,USD,completed,TXN_1331295525,,PayPal
PAY_42,42,588,2025-08-30 15:13:10,apple_pay,27.17,USD,completed,TXN_9628011924,,Stripe
PAY_44,44,684,2025-04-25 15:28:10,bank_transfer,127.15,USD,completed,TXN_1821837497,,Adyen
PAY_45,45,1360,2025-04-15 15:20:10,bank_transfer,136.82,USD,completed,TXN_4344542119,,PayPal
PAY_46,46,789,2023-10-23 14:47:10,apple_pay,52.68,USD,completed,TXN_1367114064,,Square
PAY_47,47,1357,2024-01-03 14:39:10,paypal,194.55,USD,completed,TXN_7251758371,,Braintree
PAY_48,48,558,2025-01-10 15:31:10,google_pay,107.11,USD,completed,TXN_3525081839,,Square
PAY_49,49,324,2024-08-31 14:41:10,paypal,63.8,USD,completed,TXN_1995271635,,Braintree
PAY_51,51,187,2025-01-26 14:54:10,paypal,123.98,USD,completed,TXN_7703438814,,Square
PAY_53,53,1068,2024-11-13 15:33:10,credit_card,27.41,USD,completed,TXN_1196290684,8198,Adyen
PAY_54,54,1232,2025-05-15 15:35:10,paypal,87.63,USD,completed,TXN_6804962273,,Adyen
PAY_55,55,1057,2024-07-30 15:28:10,credit_card,45.45,USD,completed,TXN_9857526094,9963,PayPal
PAY_56,56,1480,2024-09-21 15:29:10,paypal,189.97,USD,completed,TXN_3434088617,,PayPal
PAY_57,57,427,2024-12-05 15:09:10,bank_transfer,44.29,USD,completed,TXN_8279794275,,Stripe
PAY_60,60,456,2024-11-25 14:56:10,credit_card,106.92,USD,completed,TXN_6864706328,1489,Adyen
PAY_62,62,833,2025-01-14 15:15:10,paypal,65.97,USD,completed,TXN_4258369369,,Square
PAY_63,63,722,2025-03-03 15:25:10,google_pay,156.11,USD,completed,TXN_6255352682,,Adyen
PAY_64,64,11,2024-09-25 15:29:10,credit_card,9.68,USD,completed,TXN_3507264923,5948,Stripe
PAY_65,65,54,2025-02-15 15:08:10,credit_card,106.42,USD,completed,TXN_7373341495,7783,PayPal
PAY_66,66,1430,2024-06-09 15:29:10,credit_card,125.96,USD,completed,TXN_4464337684,4276,Stripe
PAY_67,67,369,2025-06-27 14:59:10,google_pay,89.31,USD,completed,TXN_3215532869,,Stripe
PAY_68,68,491,2024-08-31 15:18:10,bank_transfer,70.24,USD,completed,TXN_7418076895,,Adyen
PAY_69,69,718,2025-09-15 14:47:10,google_pay,162.17,USD,completed,TXN_8457865407,,PayPal
PAY_70,70,190,2024-06-29 15:22:10,credit_card,136.32,USD,completed,TXN_4901629540,1471,Braintree
PAY_71,71,842,2024-05-14 14:59:10,google_pay,74.16,USD,completed,TXN_6651126260,,Adyen
PAY_72,72,839,2025-04-13 15:05:10,credit_card,37.9,USD,completed,TXN_7701683262,3970,Stripe
PAY_73,73,59,2024-05-24 15:02:10,paypal,91.19,USD,completed,TXN_7112091374,,PayPal
PAY_74,74,752,2025-04-05 14:59:10,bank_transfer,85.38,USD,completed,TXN_5617722273,,Stripe
PAY_75,75,64,2025-08-22 15:28:10,apple_pay,144.5,USD,completed,TXN_8812811216,,Square
PAY_76,76,327,2025-01-04 14:38:10,apple_pay,62.85,USD,completed,TXN_3174595738,,PayPal
PAY_77,77,1048,2025-04-08 14:57:10,google_pay,279.49,USD,completed,TXN_1229244345,,Braintree
PAY_79,79,1435,2023-10-04 15:09:10,paypal,62.32,USD,completed,TXN_8633416999,,Stripe
PAY_81,81,331,2024-01-30 15:28:10,google_pay,74.34,USD,completed,TXN_5558819860,,Adyen
PAY_82,82,49,2025-02-27 15:22:10,paypal,88.18,USD,completed,TXN_5353628893,,PayPal
PAY_83,83,1209,2023-11-10 15:21:10,paypal,70.27,USD,completed,TXN_5961568323,,Square
PAY_85,85,1408,2024-03-13 14:51:10,paypal,126.55,USD,completed,TXN_1888780962,,Square
PAY_86,86,1299,2024-06-06 15:10:10,credit_card,80.76,USD,completed,TXN_7201825250,3697,Square
PAY_87,87,170,2025-05-19 15:34:10,credit_card,160.92,USD,completed,TXN_6033747680,9628,Braintree
PAY_88,88,852,2024-12-18 15:35:10,paypal,67.35,USD,completed,TXN_5764414632,,PayPal
PAY_89,89,1155,2024-09-11 14:36:10,google_pay,59.84,USD,completed,TXN_3864379636,,Adyen
PAY_92,92,1489,2025-02-12 15:14:10,bank_transfer,207.27,USD,completed,TXN_6468384085,,PayPal
PAY_93,93,747,2025-04-07 14:51:10,bank_transfer,228.88,USD,completed,TXN_6764708824,,Braintree
PAY_94,94,344,2025-04-20 14:36:10,apple_pay,113.87,USD,completed,TXN_6858612886,,Braintree
PAY_96,96,548,2023-11-04 15:10:10,credit_card,60.56,USD,completed,TXN_7764206479,3649,Stripe
PAY_97,97,108,2025-07-06 15:02:10,bank_transfer,64.39,USD,completed,TXN_9189892101,,Adyen
PAY_98,98,138,2023-10-18 14:39:10,paypal,39.68,USD,completed,TXN_6554779798,,Adyen
PAY_99,99,746,2024-01-08 14:56:10,paypal,26.22,USD,completed,TXN_6058262679,,Braintree
PAY_100,100,748,2025-01-20 14:58:10,google_pay,115.51,USD,completed,TXN_5575446384,,Square
PAY_101,101,1247,2024-09-02 14:41:10,google_pay,53.92,USD,completed,TXN_8482573708,,PayPal
PAY_102,102,987,2025-07-03 15:19:10,credit_card,57.56,USD,completed,TXN_9483718561,3773,Adyen
PAY_103,103,876,2024-09-11 14:38:10,credit_card,43.77,USD,completed,TXN_1148317443,1111,PayPal
PAY_104,104,1131,2023-11-05 14:54:10,google_pay,136.27,USD,completed,TXN_4313251852,,PayPal
PAY_105,105,255,2025-04-19 15:15:10,apple_pay,36.47,USD,completed,TXN_5857882683,,Square
PAY_107,107,643,2024-07-29 14:43:10,google_pay,74.29,USD,completed,TXN_3427864173,,Adyen
PAY_108,108,1297,2023-10-17 15:18:10,paypal,75.55,USD,completed,TXN_9330121894,,Stripe
PAY_109,109,625,2025-03-03 15:24:10,paypal,77.76,USD,completed,TXN_9771430581,,Braintree
PAY_110,110,1177,2025-01-16 14:35:10,google_pay,76.67,USD,completed,TXN_6744387258,,Adyen
PAY_111,111,1434,2025-08-30 14:57:10,apple_pay,58.48,USD,completed,TXN_7299878700,,Braintree
PAY_112,112,1434,2025-06-12 15:24:10,apple_pay,54.53,USD,completed,TXN_4286707105,,Square
PAY_114,114,652,2024-06-21 14:59:10,apple_pay,258.15,USD,completed,TXN_5291796474,,Square
PAY_115,115,781,2024-05-27 15:00:10,bank_transfer,73.25,USD,completed,TXN_7137507440,,Stripe
