order_id,carrier,tracking_number,shipping_method,shipping_cost,ship_date,estimated_delivery,actual_delivery,shipping_status,weight_kg
1,UPS,TN769680954,two_day,0.0,2025-08-15,2025-08-20,2025-08-19,pending,14.63
2,Amazon Logistics,TN264041680,overnight,0.0,2024-05-04,2024-05-08,2024-05-10,pending,6.16
3,DHL,TN937233774,standard,0.0,2025-04-10,2025-04-13,,shipped,14.59
4,DHL,TN344727418,two_day,0.0,2024-07-21,2024-07-26,2024-07-26,shipped,19.34
5,DHL,TN416749321,standard,0.0,2023-10-18,2023-10-25,2023-10-27,returned,13.8
6,FedEx,TN968971758,two_day,0.0,2023-12-10,2023-12-13,2023-12-14,shipped,5.91
8,USPS,TN538572441,overnight,0.78,2025-09-01,2025-09-06,2025-09-07,delivered,13.3
9,FedEx,TN229799098,free,9.87,2024-09-23,2024-09-25,2024-09-27,pending,10.8
11,USPS,TN863990621,overnight,22.88,2025-07-12,2025-07-18,2025-07-20,shipped,5.35
12,FedEx,TN697261745,two_day,0.0,2025-03-26,2025-04-02,2025-04-04,shipped,6.58
13,UPS,TN929263309,two_day,16.4,2024-02-18,2024-02-23,2024-02-25,shipped,6.37
14,DHL,TN300770062,express,0.0,2024-09-09,2024-09-12,2024-09-13,in_transit,4.36
16,DHL,TN400854154,express,0.0,2024-05-25,2024-05-28,2024-05-30,shipped,11.01
17,USPS,TN360075944,free,22.65,2024-03-15,2024-03-21,2024-03-20,shipped,9.85
18,DHL,TN843502824,two_day,0.0,2025-01-30,2025-02-02,2025-02-01,in_transit,18.35
19,USPS,TN561465467,overnight,9.51,2023-10-02,2023-10-07,2023-10-06,delivered,10.23
20,UPS,TN473772751,two_day,5.84,2024-01-25,2024-02-01,2024-02-03,shipped,10.62
21,USPS,TN614844635,two_day,0.0,2024-06-25,2024-06-28,,delivered,9.07
23,Amazon Logistics,TN659348681,express,0.0,2025-02-21,2025-02-27,2025-02-28,pending,19.5
24,DHL,TN759628783,express,0.0,2025-06-08,2025-06-10,2025-06-11,returned,1.28
25,USPS,TN977338722,standard,0.0,2024-01-27,2024-01-31,2024-01-31,returned,7.24
27,Amazon Logistics,TN645132180,express,8.45,2024-01-09,2024-01-14,2024-01-13,shipped,1.63
28,FedEx,TN513027572,free,0.0,2023-11-10,2023-11-14,2023-11-15,pending,17.46
