supplier_id,supplier_name,contact_email,contact_phone,country,city,rating,lead_time_days,is_active,contract_start_date
1,Supplier_1 Inc.,contact@supplier_1.com,+1-417-271-3387,China,City_6,4.6,3,True,2025-03-03
2,Supplier_2 Inc.,contact@supplier_2.com,+1-202-116-2032,Mexico,City_50,3.9,15,True,2025-07-30
3,Supplier_3 Inc.,contact@supplier_3.com,+1-720-961-8878,Vietnam,City_16,3.0,5,True,2025-02-17
4,Supplier_4 Inc.,contact@supplier_4.com,+1-581-492-2522,South Korea,City_8,4.8,10,True,2024-11-06
5,Supplier_5 Inc.,contact@supplier_5.com,+1-526-765-4997,China,City_76,4.0,4,True,2024-11-20
6,Supplier_6 Inc.,contact@supplier_6.com,+1-631-901-3265,Japan,City_41,3.6,30,True,2024-10-10
7,Supplier_7 Inc.,contact@supplier_7.com,+1-892-909-2600,United States,City_1,3.4,27,True,2024-05-18
8,Supplier_8 Inc.,contact@supplier_8.com,+1-969-513-3988,United States,City_48,4.6,11,True,2024-01-05
9,Supplier_9 Inc.,contact@supplier_9.com,+1-588-548-2221,Taiwan,City_3,4.8,4,True,2023-10-15
10,Supplier_10 Inc.,contact@supplier_10.com,+1-599-532-5401,China,City_10,3.0,23,True,2024-08-15
11,Supplier_11 Inc.,contact@supplier_11.com,+1-506-988-2417,China,City_91,4.7,10,True,2025-08-28
12,Supplier_12 Inc.,contact@supplier_12.com,+1-657-654-6307,China,City_52,4.2,21,True,2023-12-05
13,Supplier_13 Inc.,contact@supplier_13.com,+1-680-142-9565,Brazil,City_2,3.7,20,True,2024-06-15
14,Supplier_14 Inc.,contact@supplier_14.com,+1-629-661-4314,South Korea,City_71,3.3,20,True,2024-01-29
15,Supplier_15 Inc.,contact@supplier_15.com,+1-836-514-3610,Vietnam,City_78,3.9,3,True,2024-02-24
16,Supplier_16 Inc.,contact@supplier_16.com,+1-643-671-9520,Brazil,City_16,3.9,24,True,2024-04-20
