session_id,customer_id,session_date,device_type,browser,source,landing_page,page_views,session_duration_seconds,is_bounce,converted,ip_address
6f786369-2adf-46ee-995e-95055c5c9ee6,30.0,2025-07-30 14:35:12,mobile,Safari,instagram,/products,3,715,False,False,70.150.255.104
ee1024bd-5aa2-43c2-bfcb-b5882fdebf12,,2025-01-24 14:35:12,mobile,Chrome,direct,/categories,16,787,False,False,10.27.164.102
a92fddab-bfaa-4979-8ab6-7dabf2f65c1b,,2025-02-24 14:35:12,desktop,Safari,direct,/search,1,2683,True,False,171.65.12.2
fa1a5738-3c85-4ef2-a074-9aba50b9ea97,862.0,2025-05-13 14:35:12,tablet,Edge,google,/products,1,2394,True,False,108.61.114.197
265bda24-6726-4a74-a7ca-136eca72560f,1105.0,2025-04-18 14:35:12,desktop,Safari,direct,/search,1,2619,True,False,75.213.231.109
82b87283-b972-4b1e-a313-41c1aa94d154,1019.0,2025-03-13 14:35:12,tablet,Chrome,referral,/categories,20,2002,False,False,107.58.118.123
236950de-0876-4e61-8ba6-777ed1089ae8,,2025-07-21 14:35:12,mobile,Safari,google,/checkout,18,3235,False,False,139.172.95.194
ca56f291-055a-4f42-9d4f-888fbed56fc8,286.0,2025-07-22 14:35:12,mobile,Chrome,direct,/categories,13,2672,False,False,19.195.39.198
f2f94585-b303-41b4-b57a-dcdfbf6e9fc2,,2025-03-14 14:35:12,mobile,Safari,facebook,/,1,3140,True,False,69.163.35.136
b132f50e-462f-4fb2-885a-f85a2d736e7c,882.0,2025-08-20 14:35:12,mobile,Chrome,facebook,/products,1,993,True,False,74.63.215.106
a00064ec-2f89-4c8b-9666-4d61862655c0,602.0,2024-11-05 14:35:12,desktop,Firefox,google,/products,14,2446,False,False,150.248.57.103
9c6e0029-2c3f-47a6-b603-b6fbcc4f71a6,536.0,2024-10-12 14:35:12,tablet,Chrome,direct,/search,9,858,False,False,190.118.196.45
c5d018b6-8a77-457f-87ca-bd4db8a9fcca,458.0,2025-06-09 14:35:12,desktop,Chrome,facebook,/,1,3476,True,False,205.111.97.121
a8514cb4-f52a-4685-a5f3-b363764a5da4,828.0,2025-04-17 14:35:12,mobile,Safari,google,/cart,1,249,True,False,125.199.120.69
45eb8b2e-c85d-49e7-ac3f-c8870ed99c27,793.0,2025-09-11 14:35:12,desktop,Chrome,email,/checkout,15,1955,False,False,60.54.40.140
2fecf69b-f1d5-4e02-93b8-27ea4792b2ad,339.0,2025-09-21 14:35:12,desktop,Chrome,instagram,/products,3,3316,False,False,233.99.210.241
e21b91ac-6768-4a05-9e33-f3037c6cf621,527.0,2025-05-25 14:35:12,tablet,Safari,google,/checkout,5,1736,False,False,95.47.101.133
d1712701-6eb2-4341-a7c2-70b507645d9c,70.0,2025-08-28 14:35:12,tablet,Chrome,facebook,/categories,18,1907,False,False,146.22.208.47
0718e0d9-52a2-4f9d-8404-70d0ca7269ba,,2024-10-22 14:35:12,tablet,Safari,instagram,/search,9,3184,False,False,50.117.50.233
a52d1630-bcde-4856-a4f1-59d97ebee507,,2025-04-11 14:35:12,mobile,Chrome,referral,/,1,855,True,False,237.71.110.103
5525b2da-25ba-4cb3-9c5f-06fc41888465,289.0,2025-05-09 14:35:12,mobile,Chrome,google,/products,1,2264,True,True,3.198.114.213
b49cfa4a-325c-4bc5-b5e0-01f579b05e77,188.0,2024-11-08 14:35:12,mobile,Chrome,direct,/cart,7,2546,False,False,179.52.189.199
8f5ba94c-8a97-4135-ab28-008e2d8ffd42,,2024-11-23 14:35:12,mobile,Chrome,direct,/search,19,460,False,False,164.185.196.186
c856539c-c927-41a9-bfc9-1b69867d59dc,418.0,2025-08-06 14:35:12,desktop,Chrome,facebook,/,1,2400,True,False,236.234.90.217
ffae6628-a84f-4965-9cb4-5a69df7631fa,491.0,2024-12-23 14:35:12,desktop,Chrome,direct,/search,10,2958,False,False,144.128.48.11
b9739f63-1f33-4502-b7a8-23eccb0ba412,1098.0,2025-08-26 14:35:12,tablet,Chrome,email,/categories,18,1924,False,False,205.54.219.133
2cc5ee3f-bbd1-48be-ad2e-2df1f6a2d53d,,2025-03-27 14:35:12,desktop,Safari,direct,/checkout,1,1079,True,False,152.36.203.13
a11af9a0-01ca-4a44-8e72-1e4eebaa97cc,963.0,2025-02-03 14:35:12,desktop,Edge,facebook,/,5,2684,False,False,200.105.162.100
cefc8bc4-e944-4d29-a0ba-da433a04b502,827.0,2025-01-27 14:35:12,desktop,Safari,email,/,4,3305,False,False,132.166.163.174
448c73dd-a870-4ca1-8c76-ae4d71385069,176.0,2024-11-17 14:35:12,desktop,Chrome,facebook,/search,1,1511,True,False,71.127.238.6
28d516b9-cc02-4223-9276-6cf3a63e49f3,544.0,2025-01-13 14:35:12,mobile,Chrome,direct,/cart,1,2718,True,False,6.115.225.114
fe1a8902-69ac-4a37-811e-1ae9181e83b6,1469.0,2024-11-10 14:35:12,desktop,Chrome,direct,/,1,3290,True,False,47.250.20.106
e0887425-ec1a-4ac4-896d-92ab3cedba79,1491.0,2025-06-02 14:35:12,mobile,Chrome,instagram,/,12,714,False,False,252.35.17.11
1f26b929-4802-4504-b3ab-1eac4bda76dd,764.0,2024-11-24 14:35:12,mobile,Safari,google,/checkout,1,3398,True,False,52.12.197.10
ca898e91-ae68-43e2-ad97-2e85d29072c5,482.0,2024-10-08 14:35:12,desktop,Chrome,direct,/categories,6,644,False,False,47.251.12.85
c2da862f-6ba6-4d22-bce2-57116cc817ab,,2024-11-12 14:35:12,mobile,Safari,referral,/checkout,13,608,False,False,232.192.170.171
bd69dcc5-36dd-4a72-b5c9-443f2276b5ec,1298.0,2025-07-03 14:35:12,mobile,Firefox,direct,/checkout,14,1878,False,False,105.166.31.147
e05e2eba-f4f2-4631-a18d-1cc425ec6a16,,2024-10-10 14:35:12,mobile,Chrome,google,/categories,5,3344,False,False,95.177.41.32
e6be95aa-5e54-447f-8db5-d36115cefeb5,1131.0,2025-06-15 14:35:12,desktop,Safari,direct,/,1,2862,True,False,249.39.240.36
2b5a4d1c-5d29-48c7-8d85-c4899ed14af3,345.0,2025-06-21 14:35:12,mobile,Chrome,email,/,12,261,False,False,225.125.43.251
285e6cf4-50d9-4a23-9cb3-49c89195761f,1048.0,2025-02-23 14:35:12,mobile,Safari,instagram,/products,1,1135,True,False,90.73.65.225
2676ff23-b090-4fd3-9ee7-29ea2bc8064b,,2024-10-16 14:35:12,desktop,Chrome,email,/products,17,258,False,False,216.79.66.64
0f6e10c7-a8b7-46d4-a3bd-7f0250512eaf,868.0,2025-05-24 14:35:12,mobile,Safari,google,/search,1,2543,True,False,84.144.158.53
ff1d8383-e903-4cb1-b40c-837fc96adfeb,,2024-11-29 14:35:12,desktop,Chrome,direct,/categories,1,706,True,False,141.202.64.144
f1ab595a-45b7-459e-9bf9-4f9c5b55959e,227.0,2025-04-15 14:35:12,mobile,Chrome,direct,/cart,2,3089,False,False,181.224.234.190
b176c92f-aafd-4ac7-a7a9-a294f766a776,549.0,2025-05-07 14:35:12,mobile,Chrome,instagram,/categories,1,1005,True,False,68.108.128.220
0b96ccfc-f04b-4bc1-a67e-cab67c825a75,1326.0,2025-03-29 14:35:12,desktop,Firefox,facebook,/categories,19,1715,False,False,67.209.46.122
bf751380-d98f-415a-bcd5-bd34a5e64beb,767.0,2025-02-04 14:35:12,desktop,Safari,direct,/categories,2,140,False,False,104.246.117.211
57779f27-d17c-4ec8-8a74-82139d4d5a36,617.0,2024-10-19 14:35:12,mobile,Edge,direct,/search,1,3282,True,False,29.135.75.16
7ef4c3d8-4d39-42c4-8bd6-d91100f4006c,1499.0,2025-02-22 14:35:12,mobile,Safari,facebook,/search,17,2674,False,False,115.101.36.112
2af4f35b-1aa0-49ea-b1a7-5614f517fadf,,2025-07-29 14:35:12,mobile,Chrome,google,/checkout,1,1718,True,False,19.99.82.128
f5ebe991-0215-4064-99be-336d2e0817fd,1221.0,2024-12-23 14:35:12,mobile,Firefox,referral,/cart,13,578,False,False,234.241.141.82
095e1840-f431-4590-a177-2c1b90660267,311.0,2024-10-10 14:35:12,mobile,Chrome,direct,/cart,5,3595,False,False,34.2.75.92
50073970-0204-4fc1-891b-6114eeecf8a1,716.0,2025-09-27 14:35:12,mobile,Chrome,instagram,/categories,12,1840,False,False,98.100.129.78
6b2c3c4e-fc66-4d65-a424-dc5c5523f3d7,1030.0,2025-05-19 14:35:12,desktop,Safari,email,/categories,11,829,False,False,136.253.106.8
26a2cc52-9ad6-4980-aed7-064b113fc87d,450.0,2025-05-13 14:35:12,desktop,Chrome,facebook,/products,1,2983,True,False,39.9.126.34
54d77351-9eab-4b35-bd1c-a4e0872fa1c7,,2024-10-27 14:35:12,mobile,Chrome,facebook,/products,1,1939,True,False,131.204.64.76
81a9fd9b-82ef-4377-86eb-18fb8c55dcba,572.0,2025-06-04 14:35:12,desktop,Edge,instagram,/cart,1,2763,True,False,205.80.217.186
fb5ccdaa-571e-4521-a256-f661dde735af,843.0,2025-08-26 14:35:12,mobile,Edge,google,/search,1,1275,True,False,66.245.75.173
09d9005c-eac5-4c4a-aac2-937d37e7518b,,2024-11-14 14:35:12,desktop,Firefox,referral,/,10,997,False,True,134.245.41.228
5433340a-299c-45ab-9b14-f465cb060368,295.0,2025-09-27 14:35:12,mobile,Chrome,instagram,/search,1,1951,True,False,136.5.98.34
796e03c4-3bea-49d7-a235-c784a22e2e61,258.0,2025-06-25 14:35:12,mobile,Edge,direct,/cart,1,3410,True,False,212.212.200.83
44a1736d-01c6-4872-8a17-de76c635c5ab,755.0,2024-11-30 14:35:12,mobile,Safari,direct,/checkout,11,48,False,False,103.119.179.80
0a15c489-6a52-43ab-86a4-789758787ec6,1298.0,2025-01-28 14:35:12,mobile,Chrome,facebook,/products,7,3233,False,False,165.225.33.115
1de80ab2-eab7-4323-a5b1-16b1bfc52ec7,512.0,2024-10-18 14:35:12,mobile,Edge,instagram,/categories,1,2003,True,False,174.194.61.24
06b4dce9-b12a-4c14-b739-b48282cae109,1464.0,2025-09-27 14:35:12,desktop,Chrome,google,/categories,10,2222,False,False,143.213.124.179
b6129a22-c26d-4ed3-84b9-d1600c506f0a,679.0,2025-03-24 14:35:12,mobile,Chrome,google,/,1,440,True,False,212.170.84.222
c4f8827c-e42d-45a9-be33-3322343d31b1,1021.0,2025-08-29 14:35:12,tablet,Chrome,facebook,/cart,1,2479,True,False,74.186.204.214
c2ac670b-28a9-445b-bd8e-82109820fc64,,2025-03-01 14:35:12,desktop,Chrome,instagram,/checkout,11,912,False,False,129.17.98.228
5ae9876c-1fb7-4271-bec8-558b0508b917,369.0,2025-03-24 14:35:12,mobile,Safari,referral,/categories,17,2643,False,False,134.107.143.110
f79f558d-d853-4e2d-a5de-1b586b20580f,1355.0,2025-02-14 14:35:12,mobile,Chrome,instagram,/checkout,1,463,True,False,190.150.122.37
dae914f1-171c-486c-b253-64277afd8403,,2024-10-04 14:35:12,tablet,Edge,instagram,/products,10,920,False,False,197.67.41.19
9576b9df-f0b2-43a5-8d18-1d8dfe5f9da9,1024.0,2024-12-20 14:35:12,desktop,Firefox,direct,/checkout,11,2629,False,False,24.97.72.40
739f800f-69c4-4395-b7d1-737c0df6644c,,2024-10-30 14:35:12,mobile,Safari,instagram,/categories,4,410,False,False,235.246.203.75
f3fcbf8e-24e9-45fb-9877-62360b92e023,169.0,2025-05-07 14:35:12,mobile,Edge,referral,/cart,5,1993,False,False,143.179.128.79
1cf7b20b-2fff-4e8b-b5af-da3c40e70f77,,2025-01-23 14:35:12,mobile,Safari,google,/,7,2891,False,False,82.42.87.83
b700d46c-a680-40ac-82a2-a22a431085e2,625.0,2025-06-03 14:35:12,mobile,Chrome,google,/cart,16,526,False,False,98.52.226.45
7a94bde6-345d-4f4c-9d01-51c645b6606f,1333.0,2025-07-07 14:35:12,desktop,Chrome,direct,/search,17,915,False,False,181.241.140.42
e1b6d2a4-cce2-4431-9f7e-061f95555ef8,549.0,2024-10-30 14:35:12,mobile,Edge,referral,/,4,2746,False,False,84.219.55.156
32292292-0af0-44b5-bc53-182787ccf728,782.0,2025-09-10 14:35:12,mobile,Chrome,direct,/,12,1193,False,False,212.159.141.105
67731106-51aa-46a2-a34b-825be859f658,,2025-05-15 14:35:12,desktop,Chrome,referral,/search,1,135,True,False,137.46.10.197
d40fe6e2-6137-4d3d-8042-9d3eb4f103b2,1004.0,2025-03-09 14:35:12,mobile,Chrome,google,/,11,3193,False,False,141.177.241.127
bfd9421d-ebac-4839-9225-9a65a7d66637,414.0,2024-11-11 14:35:12,mobile,Chrome,direct,/,19,1713,False,False,251.183.19.69
7ca91d7a-787b-43c2-85a1-d777a53611b4,,2025-06-09 14:35:12,mobile,Safari,instagram,/search,9,1858,False,False,178.185.101.82
91b1e768-ca13-4182-81b9-ffa68608c406,1058.0,2025-04-06 14:35:12,mobile,Safari,facebook,/search,20,2252,False,False,238.16.2.38
67e02070-c245-44b1-ac4f-a9762f07de01,,2025-08-22 14:35:12,mobile,Firefox,direct,/products,15,949,False,False,245.46.186.174
52a7a728-6f1d-4a06-aa1d-e53c0cf4505e,1352.0,2025-07-15 14:35:12,mobile,Chrome,facebook,/categories,7,3223,False,False,170.32.124.126
c3bf007e-0ce3-4fba-853e-17bd8eec1d11,955.0,2025-09-04 14:35:12,mobile,Chrome,google,/cart,1,1147,True,False,222.109.47.214
90b9c04d-4030-41ee-94a6-436086fe22ee,,2025-01-11 14:35:12,mobile,Safari,google,/,1,3510,True,False,209.0.79.155
9d2d418a-7f07-4e9b-81ed-4dd0bf63e496,224.0,2025-01-07 14:35:12,desktop,Safari,instagram,/cart,10,1407,False,False,69.235.123.30
e1770ca2-6bf5-4a61-86f7-549e9be76a60,1477.0,2025-06-27 14:35:12,desktop,Chrome,facebook,/,1,1491,True,False,124.224.178.187
d760b140-f996-45d4-bd72-06174be01c34,,2025-04-19 14:35:12,mobile,Chrome,email,/cart,17,1580,False,False,150.5.189.148
